ga.dateHourMinute;ga.userType;ga.sessionCount;ga.userBucket;ga.sessionDurationBucket;ga.sessionsWithEvent;ga.uniqueDimensionCombinations;Sucess
201803241103;New Visitor;1;21;74;1;1;FALSE
201803241104;New Visitor;1;21;74;0;1;FALSE
201803241147;New Visitor;1;11;23;1;1;FALSE
201803241147;New Visitor;1;48;139;1;1;FALSE
201803241148;New Visitor;1;11;23;0;1;FALSE
201803241148;New Visitor;1;48;139;0;1;FALSE
201803241149;New Visitor;1;48;139;0;1;FALSE
201803241215;New Visitor;1;98;9;1;1;FALSE
201803241244;New Visitor;1;99;1;1;1;FALSE
201803241300;New Visitor;1;86;6;1;1;FALSE
201803241348;New Visitor;1;82;2;1;1;FALSE
201803241422;New Visitor;1;39;5;1;1;FALSE
201803241434;New Visitor;1;62;19;1;1;FALSE
201803241449;New Visitor;1;57;49;1;1;FALSE
201803241729;New Visitor;1;34;34;1;1;FALSE
201803241821;New Visitor;1;57;687;1;1;FALSE
201803241832;New Visitor;1;57;687;0;1;FALSE
201803241833;New Visitor;1;57;687;0;1;FALSE
201803241902;New Visitor;1;22;39;1;1;FALSE
201803241903;New Visitor;1;97;94;1;1;FALSE
201803241906;New Visitor;1;36;354;1;1;FALSE
201803241912;New Visitor;1;36;354;0;1;FALSE
201803241946;New Visitor;1;69;70;1;1;FALSE
201803241947;New Visitor;1;69;70;0;1;FALSE
201803241947;New Visitor;1;79;1;1;1;FALSE
201803241948;New Visitor;1;69;70;0;1;FALSE
201803242021;New Visitor;1;83;25;1;1;FALSE
201803242034;New Visitor;1;54;37;1;1;FALSE
201803242035;New Visitor;1;85;2;1;1;FALSE
201803242038;New Visitor;1;79;25;1;1;FALSE
201803242147;New Visitor;1;48;12;1;1;FALSE
201803242228;New Visitor;1;90;1113;1;1;FALSE
201803242232;New Visitor;1;90;1113;0;1;FALSE
201803242240;New Visitor;1;36;71;1;1;FALSE
201803242241;New Visitor;1;36;71;0;1;FALSE
201803242246;New Visitor;1;80;6;1;1;FALSE
201803242247;New Visitor;1;90;1113;0;1;FALSE
201803250006;New Visitor;1;81;3;1;1;FALSE
201803250107;New Visitor;1;52;3;1;1;FALSE
201803250447;New Visitor;1;95;155;1;1;FALSE
201803250449;New Visitor;1;95;155;0;1;FALSE
201803250748;New Visitor;1;99;100;1;1;FALSE
201803250749;New Visitor;1;99;100;0;1;FALSE
201803250832;New Visitor;1;77;51;1;1;FALSE
201803250833;New Visitor;1;77;51;0;1;FALSE
201803250839;New Visitor;1;71;210;1;1;FALSE
201803250840;New Visitor;1;71;210;0;1;FALSE
201803250841;New Visitor;1;71;210;0;1;FALSE
201803250850;New Visitor;1;39;20;1;1;FALSE
201803250851;New Visitor;1;39;20;0;1;FALSE
201803251013;New Visitor;1;5;21;1;1;FALSE
201803251014;New Visitor;1;5;21;0;1;FALSE
201803251132;New Visitor;1;19;352;1;1;FALSE
201803251251;Returning Visitor;2;39;85;1;1;FALSE
201803251252;Returning Visitor;2;39;85;0;1;FALSE
201803251253;Returning Visitor;2;39;85;0;1;FALSE
201803251336;New Visitor;1;64;40;1;1;FALSE
201803251412;Returning Visitor;2;59;175;0;1;FALSE
201803251413;Returning Visitor;2;51;4;1;1;FALSE
201803251414;Returning Visitor;2;59;175;0;1;FALSE
201803251511;New Visitor;1;84;290;1;1;FALSE
201803251513;New Visitor;1;84;290;0;1;FALSE
201803251515;New Visitor;1;84;290;0;1;FALSE
201803251537;New Visitor;1;25;1;1;1;FALSE
201803251551;New Visitor;1;44;71;0;1;FALSE
201803251559;New Visitor;1;39;1;1;1;FALSE
201803251600;New Visitor;1;39;1;0;1;FALSE
201803251603;New Visitor;1;52;83;1;1;FALSE
201803251604;New Visitor;1;19;1;1;1;FALSE
201803251605;New Visitor;1;52;83;0;1;FALSE
201803251615;New Visitor;1;84;265;1;1;FALSE
201803251631;Returning Visitor;2;57;43;1;1;FALSE
201803251646;New Visitor;1;19;31;1;1;FALSE
201803251701;New Visitor;1;16;10;1;1;FALSE
201803251716;New Visitor;1;96;1;1;1;FALSE
201803251723;New Visitor;1;55;1;1;1;FALSE
201803251832;New Visitor;1;85;3;1;1;FALSE
201803251839;Returning Visitor;2;6;106;1;1;FALSE
201803251841;Returning Visitor;2;6;106;0;1;FALSE
201803251908;New Visitor;1;20;65;1;1;FALSE
201803251909;New Visitor;1;20;65;0;1;FALSE
201803252005;New Visitor;1;60;3;1;1;FALSE
201803252043;New Visitor;1;32;2;1;1;FALSE
201803252044;New Visitor;1;81;54;1;1;FALSE
201803252045;New Visitor;1;81;54;0;1;FALSE
201803252049;Returning Visitor;2;60;6;1;1;FALSE
201803252129;New Visitor;1;45;2;1;1;FALSE
201803252240;New Visitor;1;63;6;1;1;FALSE
201803252241;New Visitor;1;63;6;0;1;FALSE
201803252247;New Visitor;1;9;1493;0;1;FALSE
201803252257;New Visitor;1;9;1493;0;1;FALSE
201803252303;New Visitor;1;9;1493;0;1;FALSE
201803252307;New Visitor;1;9;1493;0;1;FALSE
201803252311;New Visitor;1;9;1493;0;1;FALSE
201803252323;New Visitor;1;81;17;1;1;FALSE
201803260002;New Visitor;1;96;83;0;1;FALSE
201803260014;New Visitor;1;48;1;1;1;FALSE
201803260601;New Visitor;1;36;24;1;1;FALSE
201803261026;Returning Visitor;6;90;1;1;1;FALSE
201803261028;New Visitor;1;32;1;1;1;FALSE
201803261355;New Visitor;1;32;45;1;1;FALSE
201803261356;New Visitor;1;32;45;0;1;FALSE
201803261447;New Visitor;1;44;1;1;1;FALSE
201803261520;New Visitor;1;87;1;1;1;FALSE
201803261533;New Visitor;1;7;193;1;1;FALSE
201803261536;New Visitor;1;7;193;0;1;FALSE
201803261602;New Visitor;1;47;4;1;1;FALSE
201803261640;New Visitor;1;64;1;1;1;FALSE
201803261828;New Visitor;1;73;3;1;1;FALSE
201803261956;New Visitor;1;5;2;1;1;FALSE
201803262018;New Visitor;1;89;2;1;1;FALSE
201803262019;New Visitor;1;89;2;0;1;FALSE
201803262027;New Visitor;1;38;126;1;1;FALSE
201803262029;New Visitor;1;38;126;0;1;FALSE
201803262029;New Visitor;1;44;47;0;1;FALSE
201803262143;Returning Visitor;2;89;250;1;1;FALSE
201803262259;New Visitor;1;35;1;1;1;FALSE
201803270028;Returning Visitor;2;97;320;1;1;FALSE
201803270033;Returning Visitor;2;97;320;0;1;FALSE
201803270656;New Visitor;1;6;1;1;1;FALSE
201803270755;Returning Visitor;2;28;4;1;1;FALSE
201803271052;New Visitor;1;75;138;1;1;FALSE
201803271053;New Visitor;1;75;138;0;1;FALSE
201803271054;New Visitor;1;75;138;0;1;FALSE
201803271055;New Visitor;1;75;138;0;1;FALSE
201803271113;New Visitor;1;49;1;1;1;FALSE
201803271123;New Visitor;1;99;1;1;1;FALSE
201803271255;New Visitor;1;22;3;1;1;FALSE
201803271350;New Visitor;1;67;1;1;1;FALSE
201803271411;New Visitor;1;25;2;1;1;FALSE
201803271505;New Visitor;1;31;232;0;1;FALSE
201803271506;New Visitor;1;31;232;0;1;FALSE
201803271507;New Visitor;1;31;232;0;1;FALSE
201803271508;New Visitor;1;31;232;0;1;FALSE
201803271517;New Visitor;1;73;2;1;1;FALSE
201803271611;New Visitor;1;100;23;1;1;FALSE
201803271612;New Visitor;1;100;23;0;1;FALSE
201803271648;New Visitor;1;51;24;1;1;FALSE
201803271649;New Visitor;1;51;24;0;1;FALSE
201803271747;New Visitor;1;87;2;1;1;FALSE
201803271833;New Visitor;1;38;1;1;1;FALSE
201803271959;New Visitor;1;69;2;1;1;FALSE
201803272040;New Visitor;1;4;2;1;1;FALSE
